date,time,open,high,low,close,amount,vol
2025-11-7,13:8:0,100.01,100.01,100.01,100.01,50005.0,5.0
2025-11-7,13:9:0,100.01,100.01,100.01,100.01,50005.0,5.0
2025-11-7,13:10:0,100.01,100.01,100.01,100.01,0.0,0.0
2025-11-7,13:11:0,100.01,100.01,100.01,100.01,20002.0,2.0
2025-11-7,13:12:0,100.01,100.01,100.01,100.01,30003.0,3.0
2025-11-7,13:13:0,100.01,100.01,100.01,100.01,0.0,0.0
2025-11-7,13:14:0,100.01,100.01,100.01,100.01,100010.0,10.0
2025-11-7,13:15:0,100.01,100.01,100.01,100.01,0.0,0.0
2025-11-7,13:16:0,100.01,100.01,100.01,100.01,3420342.0,342.0
2025-11-7,13:17:0,100.01,100.01,100.01,100.01,6269527.0,627.0
2025-11-7,13:18:0,100.009,100.01,100.009,100.01,30003.0,3.0
2025-11-7,13:19:0,100.009,100.009,100.009,100.009,2750247.0,275.0
2025-11-7,13:20:0,100.009,100.009,100.009,100.009,10001.0,1.0
2025-11-7,13:21:0,100.009,100.01,100.008,100.01,2670241.0,267.0
2025-11-7,13:22:0,100.009,100.01,100.009,100.01,110010.0,11.0
2025-11-7,13:23:0,100.008,100.009,100.008,100.008,50004.0,5.0
2025-11-7,13:24:0,100.009,100.009,100.009,100.009,80007.0,8.0
2025-11-7,13:25:0,100.009,100.009,100.009,100.009,0.0,0.0
2025-11-7,13:26:0,100.009,100.009,100.009,100.009,20002.0,2.0
2025-11-7,13:27:0,100.009,100.009,100.009,100.009,0.0,0.0
2025-11-7,13:28:0,100.009,100.009,100.009,100.009,0.0,0.0
2025-11-7,13:29:0,100.009,100.009,100.009,100.009,50005.0,5.0
2025-11-7,13:30:0,100.009,100.009,100.009,100.009,0.0,0.0
2025-11-7,13:31:0,100.009,100.009,100.009,100.009,0.0,0.0
2025-11-7,13:32:0,100.009,100.009,100.009,100.009,10001.0,1.0
2025-11-7,13:33:0,100.009,100.01,100.009,100.01,210019.0,21.0
2025-11-7,13:34:0,100.01,100.01,100.01,100.01,10001.0,1.0
2025-11-7,13:35:0,100.01,100.01,100.01,100.01,0.0,0.0
2025-11-7,13:36:0,100.009,100.009,100.009,100.009,10001.0,1.0
2025-11-7,13:37:0,100.009,100.009,100.009,100.009,20001.0,2.0
2025-11-7,13:38:0,100.009,100.009,100.009,100.009,0.0,0.0
2025-11-7,13:39:0,100.009,100.009,100.009,100.009,0.0,0.0
2025-11-7,13:40:0,100.009,100.009,100.009,100.009,0.0,0.0
2025-11-7,13:41:0,100.009,100.009,100.009,100.009,160015.0,16.0
2025-11-7,13:42:0,100.009,100.009,100.009,100.009,0.0,0.0
2025-11-7,13:43:0,100.009,100.009,100.009,100.009,120011.0,12.0
2025-11-7,13:44:0,100.009,100.009,100.009,100.009,140012.0,14.0
2025-11-7,13:45:0,100.01,100.01,100.01,100.01,80008.0,8.0
2025-11-7,13:46:0,100.01,100.01,100.01,100.01,0.0,0.0
2025-11-7,13:47:0,100.01,100.01,100.01,100.01,0.0,0.0
2025-11-7,13:48:0,100.009,100.009,100.009,100.009,100009.0,10.0
2025-11-7,13:49:0,100.009,100.009,100.009,100.009,0.0,0.0
2025-11-7,13:50:0,100.009,100.009,100.009,100.009,10001.0,1.0
2025-11-7,13:51:0,100.009,100.009,100.009,100.009,20002.0,2.0
2025-11-7,13:52:0,100.009,100.009,100.009,100.009,160014.0,16.0
2025-11-7,13:53:0,100.01,100.01,100.01,100.01,60006.0,6.0
2025-11-7,13:54:0,100.009,100.01,100.009,100.01,170017.0,17.0
2025-11-7,13:55:0,100.01,100.01,100.01,100.01,120012.0,12.0
2025-11-7,13:56:0,100.01,100.01,100.01,100.01,0.0,0.0
2025-11-7,13:57:0,100.01,100.01,100.01,100.01,0.0,0.0
2025-11-7,13:58:0,100.01,100.01,100.009,100.01,220021.0,22.0
2025-11-7,13:59:0,100.01,100.01,100.01,100.01,40004.0,4.0
2025-11-7,14:0:0,100.01,100.01,100.01,100.01,20002.0,2.0
2025-11-7,14:1:0,100.01,100.01,100.01,100.01,130013.0,13.0
2025-11-7,14:2:0,100.01,100.01,100.01,100.01,0.0,0.0
2025-11-7,14:3:0,100.01,100.01,100.01,100.01,400040.0,40.0
2025-11-7,14:4:0,100.009,100.009,100.009,100.009,10001.0,1.0
2025-11-7,14:5:0,100.009,100.009,100.009,100.009,50004.0,5.0
2025-11-7,14:6:0,100.009,100.009,100.009,100.009,0.0,0.0
2025-11-7,14:7:0,100.01,100.01,100.009,100.01,210020.0,21.0
2025-11-7,14:8:0,100.01,100.01,100.01,100.01,0.0,0.0
2025-11-7,14:9:0,100.009,100.009,100.009,100.009,10001.0,1.0
2025-11-7,14:10:0,100.009,100.009,100.009,100.009,0.0,0.0
2025-11-7,14:11:0,100.009,100.009,100.009,100.009,500045.0,50.0
2025-11-7,14:12:0,100.01,100.01,100.01,100.01,10001.0,1.0
2025-11-7,14:13:0,100.01,100.01,100.01,100.01,0.0,0.0
2025-11-7,14:14:0,100.01,100.01,100.01,100.01,0.0,0.0
2025-11-7,14:15:0,100.01,100.01,100.009,100.009,650065.0,65.0
2025-11-7,14:16:0,100.009,100.009,100.009,100.009,0.0,0.0
2025-11-7,14:17:0,100.009,100.009,100.009,100.009,600054.0,60.0
2025-11-7,14:18:0,100.009,100.009,100.009,100.009,270024.0,27.0
2025-11-7,14:19:0,100.009,100.009,100.009,100.009,10001.0,1.0
2025-11-7,14:20:0,100.009,100.009,100.009,100.009,0.0,0.0
2025-11-7,14:21:0,100.009,100.009,100.009,100.009,0.0,0.0
2025-11-7,14:22:0,100.01,100.01,100.01,100.01,120012.0,12.0
2025-11-7,14:23:0,100.01,100.01,100.01,100.01,10001.0,1.0
2025-11-7,14:24:0,100.01,100.01,100.01,100.01,0.0,0.0
2025-11-7,14:25:0,100.009,100.009,100.009,100.009,50005.0,5.0
2025-11-7,14:26:0,100.009,100.009,100.009,100.009,300027.0,30.0
2025-11-7,14:27:0,100.009,100.009,100.009,100.009,0.0,0.0
2025-11-7,14:28:0,100.01,100.01,100.01,100.01,130013.0,13.0
2025-11-7,14:29:0,100.009,100.009,100.009,100.009,20002.0,2.0
2025-11-7,14:30:0,100.009,100.009,100.009,100.009,50004.0,5.0
2025-11-7,14:31:0,100.01,100.01,100.01,100.01,930093.0,93.0
2025-11-7,14:32:0,100.01,100.01,100.01,100.01,70007.0,7.0
2025-11-7,14:33:0,100.01,100.01,100.01,100.01,0.0,0.0
2025-11-7,14:34:0,100.01,100.01,100.01,100.01,110011.0,11.0
2025-11-7,14:35:0,100.009,100.009,100.009,100.009,20002.0,2.0
2025-11-7,14:36:0,100.01,100.01,100.01,100.01,10001.0,1.0
2025-11-7,14:37:0,100.009,100.01,100.009,100.01,90009.0,9.0
2025-11-7,14:38:0,100.009,100.009,100.009,100.009,210019.0,21.0
2025-11-7,14:39:0,100.009,100.01,100.009,100.01,680066.0,68.0
2025-11-7,14:40:0,100.009,100.009,100.009,100.009,60005.0,6.0
2025-11-7,14:41:0,100.01,100.01,100.01,100.01,290029.0,29.0
2025-11-7,14:42:0,100.01,100.01,100.01,100.01,920092.0,92.0
2025-11-7,14:43:0,100.009,100.01,100.009,100.01,6640663.0,664.0
2025-11-7,14:44:0,100.01,100.01,100.01,100.01,2040204.0,204.0
2025-11-7,14:45:0,100.009,100.009,100.009,100.009,70007.0,7.0
