date,time,open,high,low,close,amount,vol
2025-7-28,11:12:0,2.096,2.097,2.096,2.097,687815.0,3280.0
2025-7-28,11:13:0,2.096,2.097,2.096,2.097,343976.0,1641.0
2025-7-28,11:14:0,2.097,2.097,2.097,2.097,21389.0,102.0
2025-7-28,11:15:0,2.097,2.097,2.096,2.097,919953.0,4387.0
2025-7-28,11:16:0,2.097,2.097,2.096,2.096,351844.0,1678.0
2025-7-28,11:17:0,2.096,2.097,2.096,2.096,29566.0,141.0
2025-7-28,11:18:0,2.096,2.097,2.096,2.097,1875348.0,8945.0
2025-7-28,11:19:0,2.096,2.097,2.096,2.097,339919.0,1621.0
2025-7-28,11:20:0,2.097,2.097,2.096,2.096,363540.0,1734.0
2025-7-28,11:21:0,2.096,2.096,2.096,2.096,15511.0,74.0
2025-7-28,11:22:0,2.096,2.097,2.096,2.097,63324.0,302.0
2025-7-28,11:23:0,2.097,2.097,2.096,2.096,72315.0,345.0
2025-7-28,11:24:0,2.096,2.097,2.096,2.097,55968.0,267.0
2025-7-28,11:25:0,2.097,2.097,2.096,2.096,464911.0,2218.0
2025-7-28,11:26:0,2.097,2.097,2.096,2.097,186360.0,889.0
2025-7-28,11:27:0,2.097,2.097,2.096,2.097,204614.0,976.0
2025-7-28,11:28:0,2.097,2.097,2.096,2.097,427118.0,2037.0
2025-7-28,11:29:0,2.096,2.097,2.096,2.097,1490626.0,7109.0
2025-7-28,13:0:0,2.097,2.098,2.096,2.097,7565090.0,36077.0
2025-7-28,13:1:0,2.098,2.098,2.097,2.097,688360.0,3282.0
2025-7-28,13:2:0,2.097,2.098,2.097,2.098,174063.0,830.0
2025-7-28,13:3:0,2.097,2.098,2.097,2.097,140108.0,668.0
2025-7-28,13:4:0,2.097,2.098,2.097,2.098,251692.0,1200.0
2025-7-28,13:5:0,2.097,2.098,2.097,2.098,2276908.0,10853.0
2025-7-28,13:6:0,2.098,2.098,2.097,2.098,1734387.0,8267.0
2025-7-28,13:7:0,2.097,2.098,2.097,2.097,2078298.0,9907.0
2025-7-28,13:8:0,2.097,2.098,2.097,2.097,88306.0,421.0
2025-7-28,13:9:0,2.098,2.098,2.097,2.097,133841.0,638.0
2025-7-28,13:10:0,2.098,2.098,2.097,2.098,187125.0,892.0
2025-7-28,13:11:0,2.098,2.098,2.097,2.098,18461.0,88.0
2025-7-28,13:12:0,2.098,2.098,2.098,2.098,34827.0,166.0
2025-7-28,13:13:0,2.098,2.098,2.097,2.097,1198743.0,5714.0
2025-7-28,13:14:0,2.098,2.098,2.098,2.098,330855.0,1577.0
2025-7-28,13:15:0,2.098,2.098,2.097,2.098,436173.0,2079.0
2025-7-28,13:16:0,2.098,2.098,2.097,2.098,495726.0,2363.0
2025-7-28,13:17:0,2.097,2.098,2.097,2.098,821346.0,3915.0
2025-7-28,13:18:0,2.098,2.098,2.097,2.097,53916.0,257.0
2025-7-28,13:19:0,2.097,2.098,2.097,2.098,94797.0,452.0
2025-7-28,13:20:0,2.098,2.098,2.097,2.097,165319.0,788.0
2025-7-28,13:21:0,2.097,2.098,2.097,2.097,136570.0,651.0
2025-7-28,13:22:0,2.098,2.098,2.097,2.098,169698.0,809.0
2025-7-28,13:23:0,2.098,2.098,2.097,2.097,140350.0,669.0
2025-7-28,13:24:0,2.097,2.098,2.097,2.098,225499.0,1075.0
2025-7-28,13:25:0,2.098,2.098,2.097,2.098,2553669.0,12172.0
2025-7-28,13:26:0,2.098,2.098,2.098,2.098,7082208.0,33757.0
2025-7-28,13:27:0,2.098,2.099,2.098,2.099,4728501.0,22538.0
2025-7-28,13:28:0,2.098,2.099,2.098,2.098,710875.0,3387.0
2025-7-28,13:29:0,2.098,2.099,2.098,2.098,404177.0,1926.0
2025-7-28,13:30:0,2.099,2.099,2.098,2.099,125518.0,598.0
2025-7-28,13:31:0,2.098,2.099,2.098,2.098,1124762.0,5361.0
2025-7-28,13:32:0,2.098,2.099,2.098,2.098,539101.0,2569.0
2025-7-28,13:33:0,2.098,2.099,2.098,2.098,8305826.0,39589.0
2025-7-28,13:34:0,2.097,2.098,2.097,2.098,656028.0,3127.0
2025-7-28,13:35:0,2.098,2.098,2.097,2.098,2038836.0,9718.0
2025-7-28,13:36:0,2.098,2.098,2.097,2.098,204971.0,977.0
2025-7-28,13:37:0,2.097,2.098,2.097,2.098,245643.0,1171.0
2025-7-28,13:38:0,2.098,2.099,2.098,2.099,1542281.0,7351.0
2025-7-28,13:39:0,2.099,2.099,2.098,2.098,31481.0,150.0
2025-7-28,13:40:0,2.099,2.099,2.098,2.099,49322.0,235.0
2025-7-28,13:41:0,2.099,2.099,2.098,2.099,67582.0,322.0
2025-7-28,13:42:0,2.099,2.099,2.098,2.098,1090347.0,5197.0
2025-7-28,13:43:0,2.098,2.099,2.098,2.099,57496.0,274.0
2025-7-28,13:44:0,2.099,2.099,2.098,2.099,65064.0,310.0
2025-7-28,13:45:0,2.099,2.099,2.098,2.098,356502.0,1699.0
2025-7-28,13:46:0,2.099,2.099,2.098,2.099,1969053.0,9381.0
2025-7-28,13:47:0,2.099,2.099,2.098,2.099,170583.0,813.0
2025-7-28,13:48:0,2.099,2.099,2.098,2.099,1454274.0,6929.0
2025-7-28,13:49:0,2.098,2.099,2.098,2.099,401077.0,1911.0
2025-7-28,13:50:0,2.099,2.099,2.098,2.099,2766008.0,13178.0
2025-7-28,13:51:0,2.099,2.099,2.098,2.099,1645196.0,7838.0
2025-7-28,13:52:0,2.099,2.099,2.098,2.099,340446.0,1622.0
2025-7-28,13:53:0,2.099,2.1,2.098,2.099,4653747.0,22171.0
2025-7-28,13:54:0,2.099,2.1,2.099,2.1,1028133.0,4897.0
2025-7-28,13:55:0,2.099,2.1,2.098,2.099,5749595.0,27392.0
2025-7-28,13:56:0,2.099,2.099,2.098,2.098,490299.0,2336.0
2025-7-28,13:57:0,2.098,2.099,2.098,2.098,60016.0,286.0
2025-7-28,13:58:0,2.098,2.099,2.098,2.099,143360.0,683.0
2025-7-28,13:59:0,2.099,2.099,2.098,2.099,885350.0,4218.0
2025-7-28,14:0:0,2.099,2.099,2.098,2.099,459230.0,2188.0
2025-7-28,14:1:0,2.099,2.099,2.098,2.099,4654617.0,22185.0
2025-7-28,14:2:0,2.099,2.099,2.099,2.099,331642.0,1580.0
2025-7-28,14:3:0,2.099,2.099,2.098,2.099,173784.0,828.0
2025-7-28,14:4:0,2.099,2.099,2.098,2.099,1396877.0,6655.0
2025-7-28,14:5:0,2.099,2.099,2.098,2.099,378853.0,1805.0
2025-7-28,14:6:0,2.099,2.1,2.099,2.1,3025759.0,14415.0
2025-7-28,14:7:0,2.099,2.1,2.099,2.1,264525.0,1260.0
2025-7-28,14:8:0,2.1,2.1,2.099,2.1,183904.0,876.0
2025-7-28,14:9:0,2.099,2.1,2.099,2.1,1108361.0,5278.0
2025-7-28,14:10:0,2.1,2.1,2.099,2.1,1085245.0,5168.0
2025-7-28,14:11:0,2.099,2.1,2.099,2.1,2815669.0,13408.0
2025-7-28,14:12:0,2.099,2.1,2.099,2.1,6966958.0,33176.0
2025-7-28,14:13:0,2.1,2.101,2.099,2.1,878013.0,4181.0
